time,plate,type
2026-03-17 19:31:02,7 หมหานค 299 เขง,ไม่ระบุ
2026-03-17 19:31:07,1ขจ 2999 กรุงเทพมหานคร,รถยนต์
2026-03-17 19:40:30,กท 2058 ฉะเชิงเทรา,ไม่ระบุ
2026-03-17 19:40:35,กท 2058 ฉะเชิงเทรา,ไม่ระบุ
2026-03-18 14:28:21,1ชง,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:28:25,1ขจ 2999,กรุงเทพมหานคร,รถยนต์
2026-03-18 14:29:29,ง,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:29:39,เชจ2999หมทานคร,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:29:42,1ขจ 2999,กรุงเทพมหานคร,รถยนต์
2026-03-18 14:30:06,,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:30:09,1ขจ 2999,กรุงเทพมหานคร,รถยนต์
2026-03-18 14:30:14,2999,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:30:17,1ขจ 2999,กรุงเทพมหานคร,รถยนต์
2026-03-18 14:30:26,6ภอ 287,สระแก้ว,มอไซต์
2026-03-18 14:30:29,6ภอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:31:22,6กอ 2871,กาญจนบุรี,รถยนต์
2026-03-18 14:31:24,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:31:34,กรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:31:36,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:31:42,6กอ 2871,กาญจนบุรี,รถยนต์
2026-03-18 14:31:45,1ขจ 2999,กรุงเทพมหานคร,รถยนต์
2026-03-18 14:31:51,1ขจ 2933,กรุงเทพมหานคร,รถยนต์
2026-03-18 14:31:55,6ภอ 2371,สระแก้ว,รถยนต์
2026-03-18 14:31:57,6ภอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:32:00,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:32:35,:รู,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:32:41,กรุงเทสมทำนคาcs7,ไม่พบจังหวัด,ไม่ระบุ
2026-03-18 14:32:44,6กอกรุงเทพมหานคร2871,ไม่พบจังหวัด,ไม่ระบุ
